dateOfSleep,awakeCount,awakeDuration,awakeningsCount,duration,efficiency,minutesAfterWakeup,minutesAsleep,minutesAwake,minutesToFallAsleep,restlessCount,restlessDuration,timeInBed
2022-02-01,3,14,14,27660000,93,0,429,32,0,11,18,461
2022-01-31,3,12,13,26640000,93,0,414,30,0,10,18,444
2022-01-30,2,2,7,9960000,93,1,154,11,0,5,10,166
2022-01-29,1,4,5,31380000,95,0,498,25,0,4,16,523
2022-01-28,1,3,5,27600000,97,0,446,14,0,4,11,460
2022-01-27,3,8,10,27600000,96,0,440,20,0,7,12,460
2022-01-26,3,7,11,26640000,97,8,421,15,0,8,16,444
2022-01-25,0,0,1,4620000,99,0,76,1,0,1,1,77
2022-01-25,2,6,8,25320000,96,0,406,16,0,6,10,422
2022-01-24,2,2,13,29160000,95,0,463,23,0,11,21,486
2022-01-23,1,4,4,5700000,93,1,87,7,0,3,4,95
2022-01-23,2,4,7,19740000,96,0,315,14,0,5,10,329
2022-01-22,1,5,9,28380000,96,0,455,18,0,8,13,473
2022-01-21,1,1,2,4080000,96,0,65,3,0,1,2,68
2022-01-21,3,6,10,25080000,95,0,398,20,0,7,14,418
2022-01-20,2,5,9,24120000,96,0,386,16,0,7,11,402
2022-01-19,3,12,16,30540000,94,1,475,33,0,13,22,509
2022-01-18,2,9,12,29400000,94,0,461,29,0,10,20,490
2022-01-17,4,8,14,30720000,94,0,481,31,0,10,23,512
2022-01-16,1,2,5,8820000,94,0,138,9,0,4,7,147
2022-01-16,1,3,11,34140000,86,0,488,81,0,10,23,569
2022-01-15,7,13,23,30120000,91,0,456,46,0,16,33,502
2022-01-14,3,9,18,31440000,94,5,489,30,0,15,26,524
2022-01-13,3,20,14,31260000,93,0,483,38,0,11,18,521
2022-01-12,2,13,16,30600000,91,0,466,44,0,14,31,510
2022-01-11,0,0,2,28560000,94,0,447,29,0,2,3,476
2022-01-10,4,11,11,26820000,92,0,412,35,0,7,24,447
2022-01-09,1,1,5,6240000,94,3,95,6,0,4,8,104
2022-01-09,2,9,8,28260000,96,0,452,19,0,6,10,471
2022-01-08,3,9,11,28080000,95,0,443,25,0,8,16,468
2022-01-07,2,6,6,7680000,92,5,113,10,0,4,9,128
2022-01-07,2,8,12,34740000,96,0,554,25,0,10,17,579
2022-01-06,1,5,6,8940000,92,0,137,12,0,5,7,149
2022-01-06,1,9,9,24120000,95,0,383,19,0,8,10,402
2022-01-05,0,0,1,4440000,96,0,71,3,0,1,3,74
2022-01-05,3,18,19,43860000,92,0,676,55,0,16,37,731
2022-01-04,3,10,11,35820000,96,0,576,21,0,8,11,597
2022-01-03,0,0,1,34740000,93,0,534,40,0,1,2,579
2022-01-02,2,5,11,33000000,97,0,532,18,0,9,13,550
2022-01-01,0,0,3,8160000,96,0,131,5,0,3,5,136
2022-01-01,5,50,13,27780000,86,0,396,67,0,8,17,463
